dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,0.202,0.138,22.536,7.938
2,20,0.099,0.051,6.173,2.114
2,30,0.063,0.023,2.89,1.015
2,40,0.045,0.026,4.383,1.427
2,50,0.046,0.01,2.191,0.565
3,10,0.112,0.064,8.597,3.047
3,20,0.034,0.013,4.588,1.196
3,30,0.016,0.005,0.308,0.119
3,40,0.013,0.005,0.686,0.22
3,50,0.003,0.003,0.141,0.061
4,10,0.072,0.029,5.271,1.877
4,20,0.007,0.004,0.063,0.028
4,30,0.003,0.003,0.053,0.025
4,40,0.001,0.003,0.004,0.002
4,50,0.0,0.003,0.002,0.001
